id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
55,55,1,3,86,12,2754,132,89,221,5,155,2
56,56,3,7,86,13,2755,45,387,432,16,350,2
57,57,1,1,86,12,2756,55,112,167,12,129,2
58,58,1,4,87,8,2757,124,52,176,14,139,2
59,59,3,3,87,5,2758,120,126,246,15,197,2
60,60,1,2,87,6,2759,47,32,79,14,62,2
61,61,1,1,86,12,2760,126,107,233,23,205,2
62,62,3,2,86,6,2761,101,45,146,15,117,2
63,63,1,1,86,5,2762,78,99,177,14,140,1
64,64,4,7,86,13,2763,69,74,143,14,113,1
65,65,1,3,86,8,2764,194,97,291,35,291,2
66,66,2,-1,87,10,2765,224,110,334,28,309,2
67,67,2,4,87,15,2766,323,184,507,35,507,2
68,68,1,3,86,6,2767,42,31,73,27,67,2
69,69,1,2,87,5,2768,74,43,117,25,105,2
70,70,3,4,87,10,2769,101,57,158,9,117,2
71,71,0,4,86,6,2770,97,42,139,6,99,3
72,72,2,3,84,13,2771,134,77,211,13,165,2
73,73,4,5,86,26,2772,482,227,709,26,645,2
74,74,0,2,84,6,2773,213,73,286,6,203,3
75,75,0,-1,84,22,2774,139,143,282,22,245,2
76,76,2,3,86,24,2775,473,182,655,40,688,2
77,77,4,4,85,12,2776,229,169,398,39,414,3
78,78,4,3,83,12,2777,227,73,300,34,297,1
79,79,4,4,82,24,2778,395,193,588,40,617,1
80,80,4,3,86,12,2779,469,176,645,43,697,3
81,81,4,4,85,36,2780,886,241,1127,34,1116,1
82,82,2,1,84,15,2781,243,169,1450,42,577,3
83,83,3,2,83,17,2782,793,165,1222,49,723,4
84,84,2,1,82,13,2783,529,210,1214,40,748,2
85,85,2,3,84,20,2784,647,179,825,51,778,4
86,86,3,3,82,16,2785,508,276,815,29,668,3
87,87,1,2,83,22,2786,776,283,624,52,782,3
88,88,1,1,84,16,2787,318,244,1432,40,831,3
89,89,2,2,83,13,2788,651,224,1389,37,646,4
90,90,2,2,83,17,2789,719,308,1258,55,617,3
91,91,1,2,84,12,2790,186,290,1574,56,782,3
92,92,2,1,83,12,2791,211,298,873,51,651,4
93,93,1,3,83,19,2792,739,204,1272,34,540,3
94,94,2,2,84,19,2793,360,264,782,48,552,3
95,95,3,3,82,14,2794,714,192,788,50,784,2
96,96,2,1,83,16,2795,811,249,597,42,674,4
97,97,2,3,82,13,2796,388,299,1083,59,724,2
98,98,2,2,83,19,2797,907,181,1439,32,639,4
99,99,1,2,83,16,2798,328,202,1195,56,646,2
100,100,1,2,82,24,2799,591,199,1333,39,694,4
101,101,3,2,83,18,2800,849,216,1058,30,681,3
102,102,3,2,83,16,2801,874,226,1312,49,678,2
103,103,2,2,83,22,2802,652,265,1058,31,743,2
104,104,1,1,83,13,2803,212,235,1203,42,554,3
105,105,2,1,83,17,2804,565,290,1525,38,904,2
106,106,2,1,83,17,2805,577,169,1563,58,745,3
107,107,2,2,82,22,2806,583,169,1569,58,656,3
108,108,2,1,82,13,2807,884,197,1159,58,669,3
109,109,3,1,83,19,2808,482,196,679,40,816,3
110,110,2,1,84,22,2809,538,196,609,34,663,3
111,111,1,3,84,19,2810,281,186,1454,43,797,4
112,112,3,2,82,20,2811,282,296,1206,40,881,3
113,113,2,2,82,17,2812,568,256,649,29,594,2
114,114,3,1,82,20,2813,743,265,868,47,822,4
115,115,2,3,82,21,2814,641,290,1206,28,699,3
116,116,3,2,82,18,2815,335,208,732,64,617,4
117,117,2,2,84,17,2816,547,186,1544,49,650,4
118,118,2,1,84,13,2817,895,252,1436,50,597,2
119,119,3,2,84,15,2818,424,309,1352,54,753,3
120,120,2,2,82,18,2819,478,271,1427,31,688,2
121,121,2,1,84,14,2820,722,211,1236,55,707,2
122,122,2,3,83,13,2821,267,273,1042,44,736,3
123,123,1,3,83,12,2822,824,231,1303,45,711,3
124,124,2,2,84,24,2823,140,241,1039,57,508,4
125,125,3,2,83,12,2824,340,184,1041,41,757,2
126,126,2,2,83,21,2825,512,301,1121,59,898,4
127,127,2,1,83,19,2826,820,206,1200,45,698,3
128,128,2,2,82,23,2827,557,172,627,36,903,2
129,129,2,2,83,19,2828,435,172,721,57,741,3
130,130,3,1,84,18,2829,548,304,1158,50,720,2
131,131,3,2,83,21,2830,802,293,830,55,916,2
132,132,3,3,84,22,2831,607,223,1104,61,744,4
133,133,2,2,84,21,2832,599,307,1302,45,662,3
134,134,1,2,83,17,2833,572,259,832,44,540,2
135,135,1,2,82,17,2834,815,302,1332,32,832,2
136,136,2,1,84,19,2835,750,309,1168,35,531,3
137,137,2,2,82,16,2836,494,173,1133,40,613,3
138,138,3,1,83,20,2837,363,276,1389,49,544,3
139,139,2,2,82,21,2838,512,272,1287,53,652,3
140,140,2,3,84,17,2839,281,244,607,61,683,3
141,141,3,1,83,19,2840,777,195,1507,53,580,4
142,142,3,2,84,20,2841,658,302,1222,37,571,2
143,143,2,2,84,16,2842,827,288,771,41,603,3
144,144,2,1,82,19,2843,837,144,1073,30,747,3
145,145,3,2,82,17,2844,435,219,1375,47,616,3
146,146,1,2,83,21,2845,639,289,1079,55,754,2
147,147,1,2,82,18,2846,247,237,877,34,627,2
148,148,1,1,83,23,2847,626,222,739,60,738,4
149,149,3,2,83,19,2848,150,275,1016,53,885,2
150,150,2,3,82,13,2849,357,155,675,44,832,2
151,151,2,2,83,13,2850,437,210,1148,37,523,3
152,152,2,3,84,20,2851,564,179,1333,49,753,3
153,153,1,2,83,21,2852,849,150,690,54,592,3
154,154,1,2,82,13,2853,763,280,1127,48,718,3
155,155,1,3,82,12,2854,676,188,786,62,838,3
156,156,2,3,84,24,2855,573,144,1193,56,711,4
157,157,2,2,82,13,2856,701,292,1476,40,608,3
158,158,1,3,83,14,2857,558,252,1547,61,526,3
159,159,2,2,82,14,2858,393,173,1258,50,820,4
160,160,1,3,82,18,2859,333,236,1273,56,607,4
161,161,3,3,84,17,2860,268,253,1534,31,643,4
162,162,2,1,84,16,2861,737,146,625,52,598,3
163,163,2,3,84,19,2862,139,188,1413,43,705,3
164,164,3,2,83,23,2863,146,158,1311,37,765,2
165,165,3,2,84,13,2864,744,293,1016,34,701,3
166,166,3,3,83,13,2865,367,270,1046,50,840,3
167,167,1,2,82,20,2866,696,175,716,30,755,3
168,168,3,1,83,24,2867,451,275,956,54,574,2
169,169,3,2,82,13,2868,167,253,1419,51,610,3
170,170,1,3,83,22,2869,403,201,675,64,764,3
171,171,1,2,82,15,2870,251,245,1412,50,739,3
172,172,2,2,83,24,2871,251,168,1065,47,924,2
173,173,3,2,82,14,2872,631,219,1421,57,894,3
174,174,3,3,82,19,2873,556,256,1566,50,794,3
175,175,2,2,84,21,2874,565,264,695,57,561,2
176,176,2,2,83,23,2875,421,304,802,34,763,2
177,177,1,2,83,16,2876,901,278,1558,32,840,3
178,178,1,3,84,19,2877,516,202,1507,29,558,3
179,179,2,2,82,13,2878,767,231,1371,51,817,3
180,180,2,2,83,15,2879,868,218,1245,33,543,3
181,181,2,2,82,13,2880,493,241,1105,55,811,3
182,182,1,2,83,13,2881,369,278,1493,45,848,3
183,183,2,2,83,20,2882,908,154,952,38,548,2
184,184,2,2,83,24,2883,911,202,1209,39,859,4
185,185,3,1,82,16,2884,331,250,792,33,516,3
186,186,1,2,83,23,2885,148,199,1011,46,570,3
187,187,1,3,83,16,2886,576,169,811,33,625,4
188,188,2,1,83,12,2887,353,272,672,59,807,3
189,189,2,3,83,15,2888,901,187,1160,43,548,3
190,190,2,1,83,20,2889,866,247,653,56,729,3
191,191,3,3,83,22,2890,611,206,1546,30,820,3
192,192,2,1,83,24,2891,680,260,933,41,517,3
193,193,2,3,84,19,2892,528,189,914,58,515,3
194,194,1,2,82,23,2893,271,159,1037,43,792,2
195,195,2,3,82,13,2894,420,299,1453,49,878,2
196,196,2,3,82,13,2895,425,253,948,39,931,3
197,197,3,2,83,15,2896,340,253,858,56,724,3
198,198,3,3,83,14,2897,360,160,814,29,623,2
199,199,2,2,82,19,2898,307,219,880,49,836,3
200,200,1,1,82,24,2899,408,250,1482,36,933,3
201,201,2,1,83,17,2900,490,172,1032,53,513,3
202,202,1,2,83,18,2901,502,176,655,58,831,3
203,203,1,2,83,17,2902,883,309,1288,30,555,3
204,204,2,3,83,22,2903,445,303,1518,62,712,4
205,205,3,3,84,22,2904,391,237,1403,58,595,3
206,206,2,2,83,23,2905,192,180,1504,41,551,3
207,207,1,2,82,22,2906,204,152,1148,40,562,2
208,208,3,1,83,22,2907,204,164,1258,52,575,2
209,209,2,2,84,16,2908,469,201,1285,47,716,4
210,210,1,2,83,20,2909,507,237,1546,35,826,3
211,211,3,2,83,20,2910,514,165,1007,52,789,4
212,212,2,2,82,20,2911,289,225,1470,38,779,3
213,213,1,2,83,18,2912,880,202,688,53,786,4
214,214,3,2,83,24,2913,234,238,1090,42,704,4
215,215,1,1,83,14,2914,202,173,1420,37,880,3
216,216,3,2,82,15,2915,856,288,618,61,921,2
217,217,2,1,84,19,2916,331,238,1022,57,742,3
218,218,2,2,83,13,2917,456,165,1255,63,729,3
219,219,2,1,82,16,2918,772,218,1441,62,723,3
220,220,1,2,83,15,2919,619,154,1135,48,558,3
221,221,3,2,83,18,2920,784,149,969,51,910,3
222,222,1,2,83,23,2921,628,224,688,33,794,3
223,223,3,3,83,21,2922,917,256,918,31,773,3
224,224,1,1,82,24,2923,573,246,1196,35,837,4
225,225,1,2,83,17,2924,593,210,1048,42,856,3
226,226,2,1,83,23,2925,135,286,691,28,863,3
227,227,3,3,84,16,2926,546,224,1431,46,645,2
228,228,3,2,83,21,2927,485,267,1352,53,753,3
229,229,2,1,82,24,2928,315,247,1186,51,660,3
230,230,3,1,84,15,2929,761,161,1305,62,568,2
231,231,1,2,82,14,2930,164,175,1047,52,766,4
232,232,2,3,83,17,2931,568,176,624,32,890,2
233,233,1,1,83,23,2932,420,174,1457,50,764,3
234,234,2,3,83,21,2933,286,279,1368,42,768,3
235,235,1,2,84,19,2934,693,209,1281,40,663,3
236,236,3,3,84,13,2935,228,230,1238,50,740,2
237,237,2,2,82,21,2936,910,309,1538,57,716,2
238,238,2,2,83,17,2937,290,167,1401,35,698,3
239,239,3,3,84,14,2938,670,265,651,63,903,4
240,240,3,3,82,24,2939,480,270,1094,56,623,4
241,241,2,3,83,19,2940,533,164,590,44,830,2
242,242,3,1,84,16,2941,302,253,639,44,581,3
243,243,2,2,84,16,2942,487,258,1397,38,653,4
244,244,2,2,83,22,2943,923,234,1547,50,825,4
245,245,2,1,83,23,2944,256,157,1144,52,798,2
246,246,2,2,83,13,2945,654,207,765,35,770,2
247,247,2,2,83,15,2946,622,170,1275,47,912,3
248,248,2,1,83,19,2947,596,247,617,33,527,2
249,249,2,3,82,23,2948,878,171,1195,34,635,2
250,250,3,1,83,15,2949,577,221,881,51,732,2
251,251,3,2,82,21,2950,853,245,1330,50,597,4
252,252,2,1,83,12,2951,816,210,976,58,613,2
253,253,2,2,83,16,2952,463,175,592,62,650,2
254,254,3,1,83,23,2953,366,232,884,35,751,2
255,255,2,2,83,24,2954,826,253,616,55,701,2
256,256,3,3,83,22,2955,747,152,1514,57,585,4
257,257,1,3,83,19,2956,567,269,1272,56,634,4
258,258,3,2,83,22,2957,301,266,1122,45,815,4
259,259,2,3,83,18,2958,293,203,1422,55,763,4
260,260,3,2,83,16,2959,241,167,1127,62,709,2
261,261,1,3,84,24,2960,468,259,1051,42,658,4
262,262,2,1,83,21,2961,664,195,1043,63,805,4
263,263,2,2,83,16,2962,873,200,1572,46,844,4
264,264,2,1,82,13,2963,214,242,813,60,792,2
265,265,2,3,84,16,2964,695,247,650,57,736,2
266,266,1,3,82,18,2965,199,148,1241,31,817,3
267,267,3,2,84,17,2966,439,291,784,39,646,3
268,268,2,2,82,19,2967,852,281,1504,54,760,3
269,269,1,2,82,15,2968,756,294,1363,56,645,3
270,270,2,1,84,16,2969,749,289,1518,46,928,4
271,271,3,2,83,15,2970,672,308,1142,51,696,2
272,272,3,2,82,13,2971,475,284,832,29,679,4
273,273,1,1,83,15,2972,748,289,1564,37,730,4
274,274,2,1,82,17,2973,620,265,750,52,770,3
275,275,1,2,83,16,2974,751,171,913,33,803,2
276,276,1,1,83,15,2975,317,167,890,54,840,3
277,277,1,2,82,14,2976,148,153,696,30,914,3
278,278,2,2,83,23,2977,196,189,731,52,835,2
279,279,2,2,83,14,2978,865,237,1125,57,660,4
280,280,2,3,83,23,2979,518,238,890,34,791,3
281,281,3,3,82,16,2980,284,216,1371,46,814,2
282,282,2,2,83,14,2981,273,159,1358,43,612,4
283,283,2,1,83,12,2982,627,211,811,58,676,4
284,284,2,1,83,17,2983,587,213,1342,35,536,3
285,285,2,2,84,13,2984,714,228,841,49,867,3
286,286,2,1,83,15,2985,558,216,635,37,766,2
287,287,2,2,83,21,2986,655,231,665,54,854,3
288,288,1,1,83,19,2987,352,231,975,42,784,2
289,289,1,2,82,22,2988,464,164,1300,33,745,2
290,290,1,2,84,19,2989,663,209,1080,53,742,3
291,291,1,2,82,23,2990,384,268,623,35,733,2
292,292,2,3,83,15,2991,851,238,606,60,699,3
293,293,3,2,83,17,2992,731,279,802,46,558,4
294,294,2,3,82,21,2993,243,192,1481,32,623,4
295,295,1,1,84,16,2994,486,304,703,61,581,3
296,296,2,2,83,15,2995,547,174,1228,40,577,3
297,297,3,1,83,14,2996,453,223,771,43,542,2
298,298,2,2,83,21,2997,142,244,1127,59,669,4
299,299,1,2,84,13,2998,344,156,1443,59,715,3
300,300,2,3,84,20,2999,565,237,1276,48,591,3
301,301,2,1,84,20,3000,771,264,1457,62,611,3
302,302,2,3,82,13,3001,326,153,1310,50,513,2
303,303,3,3,83,21,3002,608,277,770,48,658,2
304,304,2,3,83,21,3003,758,302,827,28,635,3
305,305,2,3,83,13,3004,425,193,990,36,798,2
306,306,2,1,82,19,3005,693,184,1548,33,600,3
307,307,2,2,83,14,3006,587,176,655,37,903,3
308,308,3,2,84,21,3007,644,243,868,57,702,4
309,309,3,2,84,23,3008,229,237,810,62,642,4
310,310,3,1,82,15,3009,627,232,787,35,718,3
311,311,2,1,83,18,3010,320,293,1222,62,779,3
312,312,2,1,83,21,3011,804,260,661,60,549,3
313,313,3,3,83,18,3012,479,246,858,54,717,3
314,314,2,2,83,21,3013,306,199,725,58,674,4
315,315,3,1,83,16,3014,394,229,1264,60,872,4
316,316,1,3,83,22,3015,732,261,1418,29,641,3
317,317,2,3,82,21,3016,656,168,923,44,760,4
318,318,1,2,82,14,3017,239,282,911,27,804,3
319,319,2,2,83,14,3018,283,183,932,27,828,4
320,320,2,1,82,23,3019,148,198,1430,42,565,4
321,321,1,2,82,22,3020,670,251,1544,53,806,3
322,322,1,1,82,23,3021,521,230,959,37,776,2
323,323,2,2,83,22,3022,613,260,1218,55,764,4
324,324,2,2,83,19,3023,715,287,864,62,651,3
325,325,2,1,84,14,3024,427,190,879,42,535,3
326,326,2,2,82,14,3025,402,276,1465,52,562,4
327,327,1,2,84,20,3026,740,149,755,56,552,2
328,328,2,3,84,18,3027,227,165,1410,29,542,4
329,329,2,3,83,20,3028,549,216,733,53,822,4
330,330,2,2,83,21,3029,188,258,804,44,696,3
331,331,1,3,83,18,3030,398,165,601,61,759,3
332,332,2,3,83,24,3031,371,199,1347,44,713,3
333,333,3,3,82,17,3032,237,277,1086,33,924,3
334,334,1,2,82,22,3033,571,290,1248,50,857,3
335,335,3,3,83,15,3034,742,165,968,33,899,3
336,336,2,2,82,16,3035,653,204,1354,49,575,3
337,337,1,1,83,13,3036,570,302,1328,63,618,3
338,338,3,2,82,18,3037,585,290,909,32,718,2
339,339,2,3,82,23,3038,434,266,1425,42,599,4
340,340,2,3,82,21,3039,140,287,938,32,750,2
341,341,3,2,83,15,3040,902,283,1487,50,853,3
342,342,2,3,83,20,3041,275,204,803,62,751,3
343,343,3,3,82,24,3042,749,207,1264,49,574,2
344,344,3,2,83,17,3043,291,214,597,54,931,2
345,345,2,2,83,19,3044,824,233,690,39,897,3
346,346,3,2,82,14,3045,653,241,852,54,647,3
347,347,3,1,83,19,3046,543,230,695,48,626,2
348,348,2,2,82,17,3047,631,151,1243,63,907,2
349,349,2,1,83,21,3048,453,299,631,53,796,3
350,350,1,1,82,20,3049,558,297,1043,40,850,3
351,351,3,1,83,18,3050,202,293,1083,60,513,4
352,352,2,2,83,14,3051,882,145,1231,52,884,3
353,353,2,3,84,13,3052,757,180,1056,28,527,3
354,354,1,2,83,22,3053,309,308,963,62,909,3
355,355,2,1,84,23,3054,595,237,1066,41,577,3
356,356,2,1,82,13,3055,417,157,1057,34,728,4
357,357,3,3,83,17,3056,520,186,727,54,763,3
358,358,2,1,83,21,3057,194,255,728,31,588,4
359,359,2,2,82,19,3058,560,220,1131,57,758,3
360,360,2,2,82,16,3059,297,185,1489,28,621,3
361,361,1,1,83,23,3060,354,242,1301,53,691,2
362,362,2,3,82,22,3061,827,228,1069,59,825,4
363,363,1,2,84,12,3062,136,184,652,39,908,3
364,364,1,3,83,19,3063,388,175,1015,38,643,3
365,365,1,2,84,22,3064,316,213,884,61,895,4
366,366,2,1,82,15,3065,222,282,1366,63,607,3
367,367,1,1,84,22,3066,544,187,1419,56,645,3
368,368,3,2,84,16,3067,634,246,916,46,556,2
369,369,1,2,84,17,3068,240,211,820,59,581,4
370,370,3,2,83,13,3069,170,262,840,27,855,3
371,371,1,2,83,18,3070,377,241,697,50,834,2
372,372,1,2,83,17,3071,499,226,871,28,533,2
373,373,2,2,82,24,3072,180,206,1150,54,568,4
374,374,2,1,82,16,3073,428,277,1422,38,538,2
375,375,2,2,83,15,3074,723,297,1403,44,816,4
376,376,3,1,82,21,3075,504,172,1232,45,704,3
377,377,2,3,83,20,3076,826,227,1435,54,700,4
378,378,1,2,83,12,3077,535,183,1288,57,597,3
379,379,2,2,82,13,3078,722,144,1428,32,655,3
380,380,2,3,83,21,3079,638,276,1501,44,676,3
381,381,1,3,82,24,3080,217,295,1093,33,798,3
382,382,2,2,83,13,3081,479,231,1474,46,528,4
383,383,2,1,82,23,3082,464,180,1348,44,591,2
384,384,2,2,83,13,3083,754,272,1278,36,511,3
385,385,1,3,82,21,3084,622,288,789,57,772,4
386,386,2,3,82,21,3085,708,270,754,47,787,3
387,387,1,3,83,12,3086,156,207,683,61,567,3
388,388,1,2,84,14,3087,193,215,887,39,888,4
389,389,3,2,83,23,3088,455,162,1388,44,740,3
390,390,2,2,82,13,3089,803,204,975,40,513,4
391,391,2,3,83,23,3090,720,171,1222,28,754,3
392,392,3,3,84,23,3091,510,201,769,53,689,2
393,393,2,2,83,14,3092,566,302,764,29,762,2
394,394,2,3,82,12,3093,732,192,1143,36,625,3
395,395,2,2,83,14,3094,368,240,1576,58,740,4
396,396,1,3,83,23,3095,536,218,1396,42,909,4
397,397,2,2,84,20,3096,844,214,1075,55,739,4
398,398,1,2,84,20,3097,246,303,767,41,646,2
399,399,3,3,84,24,3098,504,191,969,49,717,4
400,400,3,2,83,21,3099,304,285,1136,57,905,2
401,401,2,1,83,19,3100,673,268,880,59,876,2
402,402,2,1,83,16,3101,192,201,989,34,876,4
403,403,2,2,83,18,3102,385,277,1525,41,517,4
404,404,2,3,83,17,3103,253,224,669,63,663,3
405,405,1,1,83,17,3104,315,160,1256,54,567,4
406,406,3,2,83,14,3105,880,187,1078,56,795,4
407,407,2,1,83,16,3106,220,295,1184,34,546,4
408,408,2,2,84,19,3107,705,171,1298,29,533,3
409,409,3,3,84,20,3108,289,240,1414,39,618,4
410,410,2,1,83,21,3109,253,212,1540,63,778,2
411,411,2,2,84,23,3110,265,247,1414,30,639,4
412,412,2,3,82,15,3111,870,178,1062,29,893,4
413,413,1,3,84,22,3112,541,238,1424,57,694,3
414,414,2,3,82,24,3113,808,216,943,35,850,4
415,415,2,3,84,20,3114,213,301,1354,37,806,3
416,416,3,2,82,23,3115,918,282,1441,49,640,4
417,417,1,2,82,20,3116,748,245,632,51,930,2
418,418,2,2,83,24,3117,312,220,974,43,533,3
419,419,2,1,83,15,3118,762,200,677,43,580,4
420,420,2,2,83,15,3119,149,310,812,30,564,3
421,421,1,2,84,18,3120,805,252,1214,40,587,3
422,422,1,2,82,24,3121,313,158,1261,32,551,2
423,423,2,1,82,16,3122,541,210,1237,60,552,3
424,424,1,1,83,14,3123,548,260,695,42,883,2
425,425,2,1,83,23,3124,140,200,763,61,733,3
426,426,2,1,84,24,3125,385,249,747,38,741,2
427,427,3,2,82,17,3126,727,218,789,40,819,4
428,428,2,2,82,17,3127,386,222,1144,54,871,3
429,429,3,1,84,14,3128,563,222,1288,28,840,2
430,430,2,1,83,18,3129,755,297,640,28,606,3
431,431,3,1,82,16,3130,311,272,1199,46,878,3
432,432,2,2,83,14,3131,207,147,1191,47,852,2
433,433,2,2,83,18,3132,913,282,1014,42,901,3
434,434,3,3,82,15,3133,786,275,1295,56,639,4
435,435,1,2,82,20,3134,218,294,663,27,537,3
436,436,1,2,84,23,3135,630,170,1266,29,890,3
437,437,3,3,84,16,3136,666,242,1540,35,597,2
438,438,1,2,83,17,3137,678,152,1569,52,795,2
439,439,1,3,83,23,3138,400,273,967,31,806,3
440,440,1,1,82,23,3139,332,276,777,32,537,2
441,441,3,1,84,18,3140,377,197,1142,49,552,3
442,442,1,2,83,12,3141,630,149,1285,34,590,2
443,443,2,2,83,20,3142,189,244,1170,36,741,4
444,444,2,3,83,24,3143,557,167,899,45,553,2
445,445,2,2,84,24,3144,280,166,630,48,518,2
446,446,2,1,83,21,3145,301,169,732,36,574,3
447,447,3,2,83,24,3146,657,156,1042,52,670,3
448,448,1,3,83,15,3147,757,265,1404,36,616,2
449,449,1,3,84,13,3148,359,240,950,52,785,3
450,450,2,3,82,20,3149,826,304,782,41,678,3
451,451,2,2,83,20,3150,569,250,1443,57,882,3
452,452,2,1,83,13,3151,221,254,1073,32,805,4
453,453,2,2,83,21,3152,708,260,598,32,898,4
454,454,2,2,83,22,3153,417,187,1539,34,716,3
455,455,3,3,83,15,3154,481,187,1479,33,587,2
456,456,2,2,83,24,3155,560,300,1524,61,912,3
457,457,2,1,84,19,3156,297,219,753,59,517,4
458,458,1,1,84,13,3157,482,286,646,60,764,2
459,459,3,2,84,14,3158,600,248,994,31,666,2
460,460,2,2,83,14,3159,265,210,820,37,719,3
461,461,2,2,83,22,3160,340,173,1392,49,703,2
462,462,2,2,82,15,3161,394,148,1303,62,633,3
463,463,2,2,84,22,3162,608,292,646,63,888,2
464,464,2,3,82,19,3163,593,176,1198,31,897,3
465,465,2,2,84,23,3164,552,281,1169,63,716,2
466,466,2,2,83,18,3165,249,259,1537,52,721,3
467,467,2,1,83,17,3166,186,149,784,42,687,4
468,468,2,1,84,22,3167,309,270,805,38,572,2
469,469,3,2,82,22,3168,740,269,765,38,845,2
470,470,1,1,82,12,3169,491,296,1431,34,670,3
471,471,2,2,84,19,3170,820,279,1155,28,622,2
472,472,2,1,83,13,3171,184,215,1320,46,905,3
473,473,3,3,82,13,3172,601,274,837,54,875,2
474,474,2,2,82,14,3173,366,277,874,37,763,2
475,475,1,1,83,12,3174,142,268,1180,48,692,4
476,476,1,3,83,23,3175,649,256,628,43,675,3
477,477,2,1,83,18,3176,643,265,1387,40,902,3
478,478,1,1,83,17,3177,327,292,1181,46,748,3
479,479,3,3,84,17,3178,256,273,915,62,529,3
480,480,1,1,82,19,3179,206,307,855,60,866,3
481,481,3,1,83,18,3180,772,266,1173,56,596,2
482,482,1,2,82,17,3181,156,156,1575,59,527,3
483,483,3,2,84,16,3182,412,149,1513,37,864,2
484,484,3,1,83,15,3183,473,279,1525,38,614,2
485,485,1,1,83,22,3184,254,207,933,52,696,3
486,486,1,1,83,14,3185,489,149,1306,41,705,3
487,487,3,2,84,16,3186,848,150,1253,47,631,4
488,488,3,1,82,15,3187,310,144,1345,55,624,4
489,489,2,1,83,16,3188,791,184,942,55,845,2
490,490,2,2,83,17,3189,275,309,1492,45,788,4
491,491,2,2,82,17,3190,793,284,807,59,512,2
492,492,2,1,83,23,3191,718,234,640,61,538,2
493,493,2,1,82,14,3192,345,145,755,38,894,3
494,494,2,2,83,17,3193,198,168,1494,59,883,3
495,495,2,2,83,19,3194,139,174,1373,40,708,4
496,496,2,1,84,23,3195,223,263,1338,48,916,2
497,497,3,1,83,14,3196,626,234,1378,58,780,4
498,498,2,2,83,18,3197,219,246,1228,34,548,3
499,499,2,1,84,23,3198,559,165,1409,64,913,2
500,500,2,1,83,18,3199,788,275,1038,57,920,3
501,501,1,3,83,15,3200,857,293,1440,53,621,4
502,502,2,2,83,13,3201,548,259,1402,38,659,2
503,503,2,2,82,18,3202,335,256,1440,47,695,4
